AD_HP_ID,CODE_FIR,VAL_LONG_RWY,UOM_LONG_RWY,CODE_ID,TXT_NAME,CODE_IATA,CODE_TYPE_MIL_OPS,GEO_LAT_ACCURACY,GEO_LONG_ACCURACY,VAL_ELEV,UOM_DIST_VER,VAL_MAG_VAR,VAL_MAG_YEAR,VAL_MAG_CHANGE_RATE,VAL_TRANSITION_ALT,UOM_TRANSITION_ALT,VAL_TRANSITION_LEVEL,UOM_TRANSITION_LEVEL,BUREAU_NAME,FLIGHT_RULE,PRIVATE_USE,IS_MODIFIED,IS_INTERNATIONAL,IS_TRANSITION_HEIGHT,TXT_RMK,
6bc89dab-5498-458f-bfe9-ffbc506079e4,ZLHW,3000,M,ZLZY,张掖/甘州,YZY,MILEXT,N384829,E1003940,1589,M,-1.4,2011,,4200,M,4800,M,西北管理局,IFR-VFR,,N,N,N,,
553ee848-5655-4d5a-b6b6-68c25df6c7a6,ZPKM,2400,M,ZPBS,保山/云瑞,BSD,CIV,N250307,E0991003,1665,M,-1.3,2022,-3′18″,4200,M,4800,M,西南管理局,IFR-VFR,S，NS,N,N,N,无,
f6308f99-2d39-44af-973b-ac11497c2d32,ZPKM,2600,M,ZPCW,沧源/佤山,CWJ,CIV,N231634,E0992224,1840,M,-0.5,,,4200,M,4800,M,西南管理局,IFR-VFR,,N,N,N,无,
94c574c9-df7a-45ec-a06c-12b97b00d1ac,ZPKM,2600,M,ZPDL,大理/凤仪,DLU,CIV,N253901,E1001907,2155,M,-1.5,2022,-3′36″,4200,M,4800,M,西南管理局,IFR-VFR,S，NS,Y,N,N,无,
19aba388-60a0-4718-9bec-ba1f7feecdbc,ZPKM,3600,M,ZPDQ,迪庆/香格里拉,DIG,CIV,N274723,E0994044,3288,M,-0.8,1999,,5400,M,6000,M,西南管理局,IFR-VFR,S，NS,N,N,N,无,
a22382e1-6f49-4e8e-889a-30ffbc1a8edf,ZPKM,2400,M,ZPJH,西双版纳/嘎洒,JHG,CIV,N215825,E1004545,553,M,-1,1986,,3600,M,4200,M,西南管理局,IFR-VFR,S，NS，G,N,Y,N,,
d9b1b2cf-e2fb-42d3-b9b0-8189d62050fd,ZPKM,2600,M,ZPJM,澜沧/景迈,JMJ,CIV,N222503,E0994703,1351,M,-0.6,2010,,4200,M,4800,M,西南管理局,IFR-VFR,S，NS，G,N,N,N,,
9c4667ef-87f3-4308-8f2a-6d004fd32dd9,ZPKM,2400,M,ZPLC,临沧/博尚,LNJ,CIV,N234421,E1000128,1897,M,-1.4,2021,-2′41″,4200,M,4800,M,西南管理局,IFR,,N,N,N,无,
303df0e3-4e9d-4230-841e-0ee3c2f4ebf3,ZPKM,3000,M,ZPLJ,丽江/三义,LJG,CIV,N264046,E1001444,2243,M,-1,,,6000,M,6600,M,西南管理局,IFR-VFR,S，NS，G,N,Y,N,无,
46b2d60c-3f13-43b3-ba23-7f6cd8552a58,ZPKM,2600,M,ZPMS,德宏/芒市,LUM,CIV,N242405,E0983155,877,M,-1.2,2022,-3.09′,4200,M,4800,M,西南管理局,IFR-VFR,S，NS,N,Y,N,无,
